Object Name,PosX,PosZ,
[Barn Door Layout obj points - Bottom (ObjectPosition)] Bed-BL,2.14,4.6,
[Barn Door Layout obj points - Bottom (ObjectPosition)] Bed-BR,4.4,4.6,
[Barn Door Layout obj points - Bottom (ObjectPosition)] Bed-TR,4.4,5.66,
[Barn Door Layout obj points - Bottom (ObjectPosition)] Bed-TL,2.14,5.66,
[Barn Door Layout obj points - Bottom (ObjectPosition)] Sofa-BL,3.74,1.25,
[Barn Door Layout obj points - Bottom (ObjectPosition)] Sofa-BR,4.37,1.25,
[Barn Door Layout obj points - Bottom (ObjectPosition)] Sofa-TL,3.739999,3.019999,
[Barn Door Layout obj points - Bottom (ObjectPosition)] Sofa-TR,4.37,3.02,
[Barn Door Layout obj points - Bottom (ObjectPosition)] Chair-BL,3.67,3.318,
[Barn Door Layout obj points - Bottom (ObjectPosition)] Chair-BR,4.37,3.318,
[Barn Door Layout obj points - Bottom (ObjectPosition)] Chair-TL,3.67,3.977999,
[Barn Door Layout obj points - Bottom (ObjectPosition)] Chair-TR,4.37,3.978,
[Barn Door Layout obj points - Bottom (ObjectPosition)] Toilet-BL,0.6327858,2.547893,
[Barn Door Layout obj points - Bottom (ObjectPosition)] Toilet-BR,0.9605436,2.768323,
[Barn Door Layout obj points - Bottom (ObjectPosition)] Toilet-TL,0.2382402,3.134571,
[Barn Door Layout obj points - Bottom (ObjectPosition)] Toilet-TR,0.566,3.355,
[Barn Door Layout obj points - Bottom (ObjectPosition)] BR,4.68,0,
[Barn Door Layout obj points - Bottom (ObjectPosition)] TL,0,7.61,
[Barn Door Layout obj points - Bottom (ObjectPosition)] TR-3,4.68,7.471,
[Barn Door Layout obj points - Bottom (ObjectPosition)] TR-2,3.649,7.471,
[Barn Door Layout obj points - Bottom (ObjectPosition)] TR-1,3.51,8.043,
[Barn Door Layout obj points - Bottom (ObjectPosition)] DoorCorner,2.02,1.2,
[Barn Door Layout obj points - Bottom (ObjectPosition)] DoorCorner (1),0.86,3.54,

